merchant_keyword,vat_code,reasoning
TESCO STORES,zero_rated,Basic cold groceries and food items
TESCO EXPRESS,zero_rated,Basic cold groceries and convenience food
SAINSBURYS,zero_rated,Basic cold groceries and food items
ASDA SUPERMARKET,zero_rated,Groceries and essential provisions
ALDI STORES,zero_rated,Basic food and cold groceries
LIDL GB,zero_rated,Basic food and cold groceries
AMAZON UK,standard_rate,General merchandise electronics and non-food items
AMAZON EU,standard_rate,General consumer goods and digital services
AMAZON KINDLE,zero_rated,Books ebooks and printed publications
WATERSTONES,zero_rated,Books and printed publications
BRITISH GAS,reduced_rate,Domestic energy supply
EON NEXT,reduced_rate,Domestic gas and electricity supply
EDF ENERGY,reduced_rate,Domestic power and energy supply
OCTOPUS ENERGY,reduced_rate,Domestic energy supply
TRAINLINE,zero_rated,Passenger transport services
NATIONAL EXPRESS,zero_rated,Passenger coach and bus travel
LNER TICKETS,zero_rated,Passenger rail transport
TFL TRAVEL,zero_rated,Transport for London passenger transit
ROYAL MAIL,exempt,Postal services provided by public postal authority
POST OFFICE,exempt,Postal and standard mail services
BARCLAYS BANK,exempt,Bank fees account charges and financial services
HSBC BANK FEES,exempt,Financial service charges
SAGE SUBSCRIPTION,standard_rate,Accounting SaaS software subscription
XERO SOFTWARE,standard_rate,Business accounting SaaS platform
QUICKBOOKS,standard_rate,Financial management software subscription
LINKEDIN PREMIUM,standard_rate,Professional recruitment and business services
ADOBE CREATIVE,standard_rate,Digital software and subscription services
GOOGLE WORKSPACE,standard_rate,Cloud software and business subscriptions
MICROSOFT 365,standard_rate,Software subscription and cloud services
HMRC PAYMENTS,outside_scope,Direct tax settlement and statutory duties
HMRC SHIPLEY,outside_scope,Tax payment settlement
PAYROLL TRANSFER,outside_scope,Internal wage and salary distribution
DIRECTOR DRAWINGS,outside_scope,Capital withdrawal and non-taxable transfer
INTRA ACCOUNT TRANSFER,outside_scope,Internal bank account transfer
BOOTS UK,standard_rate,Cosmetics toiletries and retail pharmacy goods
WESTMINSTER COUNCIL,outside_scope,Local authority statutory business rates
AA BREAKDOWN,exempt,Insurance coverage and financial protection
AVIVA INSURANCE,exempt,Commercial and personal insurance premiums
UBER EATS,standard_rate,Hot food delivery service
DELIVEROO,standard_rate,Hot takeaway food delivery service
STATIONERY STATION,standard_rate,Office supplies and paper goods
